,API,Analyst value (0 - 5),Partner value (0 - 5),Persona value (0 - 5),Growing market,Organic Search Volume,SEO Value (0 - 3),serving
0,15Five,0,1,3,False,1161,2,False
1,1Password,5,1,0,True,395,2,False
2,2Checkout,1,1,0,True,317,2,False
3,6sense,3,2,3,True,1145,2,False
4,ActivTrak,2,5,3,False,996,2,False
5,AdRoll,2,0,5,True,226,1,True
6,Adverity,3,2,3,True,954,3,False
7,Agiloft,1,0,0,True,0,0,False
8,AgoraPulse,2,3,2,False,519,3,False
9,Aircall,4,5,1,True,491,1,True
10,Alteryx,4,1,5,False,1492,3,False
11,Ambition,3,2,3,False,206,1,False
12,Anvyl,4,5,1,False,299,2,False
13,Aplos,4,2,2,False,0,0,False
14,AppsFlyer,2,3,1,True,589,1,False
15,AppZen,1,0,2,False,0,0,False
16,ArangoDB,5,2,2,True,65,3,False
17,ArchiveSocial,2,4,3,False,0,0,False
18,Asana,2,1,5,True,1092,2,True
19,Author-It,4,2,0,False,412,1,False
20,Axure RP,5,1,0,False,241,2,False
21,backblaze,1,4,5,False,119,1,False
22,Badger Maps,3,5,3,True,307,3,False
23,Bamboo HR,5,2,0,False,383,2,True
24,beekeeper,4,0,4,True,0,0,False
25,BetterWorks,5,4,5,True,622,3,False
26,BigTime,4,0,3,False,0,0,False
27,Bitnami,0,4,4,True,0,0,False
28,Biznet Software,0,3,2,False,73,2,False
29,Bizzabo,2,2,1,False,585,1,True
30,Bombora,4,0,0,False,891,2,False
31,Brandfolder,4,2,4,True,13,2,True
32,Braze,2,1,5,True,650,2,True
33,BugSnag,4,1,2,False,863,3,False
34,Calendly,1,4,1,False,218,2,True
35,CallTrackingMetrics,4,4,1,False,1783,3,False
36,casavi,5,1,5,True,1350,3,False
37,Celoxis,3,5,0,True,477,3,False
38,Celtx,4,0,3,True,840,2,False
39,Chargify,0,5,5,False,167,2,True
40,ChatMeter,0,3,0,False,1730,3,False
41,Chorus.ai,2,4,5,True,0,0,False
42,ChurnZero,1,0,5,True,0,0,False
43,CircleCI,0,0,3,False,0,0,False
44,CleverTap,4,2,0,True,158,1,False
45,Clio,5,2,5,True,0,0,False
46,CodeSignal,0,0,4,False,70,1,False
47,Cogito,0,5,1,False,20,2,False
48,Collibra,3,0,1,True,91,1,False
49,Copper,4,5,1,True,414,1,True
50,Coralogix,2,1,1,True,972,2,False
51,Creatio,3,0,0,False,806,3,False
52,Crelate Talent,1,3,1,False,241,1,False
53,Customer.io,3,4,0,False,98,3,False
54,Dashlane,0,3,1,False,0,0,False
55,Databricks,2,4,5,True,225,1,True
56,Datadog,3,0,0,True,1178,2,True
57,Dataiku,3,1,4,False,579,3,False
58,Digital.ai,0,5,1,True,177,2,False
59,Docebo,0,0,5,False,13,2,True
60,Doodle,2,0,4,False,554,2,False
61,Drift,2,0,0,True,1120,2,True
62,Dubber,4,0,1,False,48,3,False
63,E2Open,1,3,5,False,229,2,False
64,eloomi,0,1,1,True,805,2,False
65,Engagedly,1,1,4,True,1373,3,False
66,Expensify,1,0,2,False,1655,3,False
67,Faraday,2,0,2,False,242,1,False
68,Folloze,3,1,5,True,43,1,False
69,FormAssembly,3,2,2,True,0,0,False
70,Fountain,2,1,3,True,271,1,False
71,FreshBooks,0,5,4,False,0,0,False
72,Freshworks,0,1,5,True,308,2,False
73,Front,5,5,2,False,172,2,True
74,Frontify,0,4,5,True,384,2,False
75,FullStory,4,5,4,True,163,3,False
76,Funnel.io,4,2,1,False,870,2,False
77,Fusebill,0,0,5,False,0,0,False
